region,country,in_bfp_flag,bfp_year,years_since_bfp,index,catalogue_solution_type_level_a,catalogue_solution_type_level_b,status_num,solution_type,level,grant,debt_equity,risk,fiscal,market,regulatory,generate,realign,avoid,deliver,private,public,implemented_flag,bfp_impl_group,iso3c
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,BIO,Bioprospecting (detailed review),NA,1,Bioprospecting (detailed review),A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,SDB,Social and development impact bonds (detailed review),NA,1,Social and development impact bonds (detailed review),A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Ecuador,TRUE,2024,0,LOB,Lobbying for public budget allocations,NA,0,Lobbying for public budget allocations,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,PBE,Enhance public budget execution,NA,0,Enhance public budget execution,A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,RBB,Result based budgeting,NA,0,Result based budgeting,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,NCA,Promoting natural capital accounting,NA,0,Promoting natural capital accounting,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,ODA,Increasing Official Development Assistance (ODA),Multilateral ODA,0,Increasing Official Development Assistance (ODA),A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,GB,Green bonds (detailed review),NA,0,Green bonds (detailed review),A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,SST,Sustainability standards and certification (voluntary),NA,0,Sustainability standards and certification (voluntary),A,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,CS,Corporate sustainability,NA,0,Corporate sustainability,A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,II,Impact investment (detailed review),NA,0,Impact investment (detailed review),A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,ES,Enabling solutions,Partnership and platform,0,Enabling  solutions,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,TFS,Trust funds (detailed review),NA,0,Trust funds (detailed review),A,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,ODA,Increasing Official Development Assistance (ODA),Multilateral ODA,0,Increasing Official Development Assistance (ODA),A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,ES,Enabling solutions,NA,0,Enabling  solutions,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,TT,Taxes and fees in the tourism sector,Entrance fees,1,Taxes and fees in the tourism sector,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,In-BFP: implemented,ECU
Latin America and Caribbean,Ecuador,FALSE,NA,NA,PES,Payment for Ecosystem Services (detailed review),Payment for Ecosystem Services-state intermediation and/or fee,1,Payment for Ecosystem Services (detailed review),A,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Post-BFP: implemented,ECU
Latin America and Caribbean,Ecuador,FALSE,NA,NA,TFS,Trust funds (detailed review),NA,1,Trust funds (detailed review),A,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Post-BFP: implemented,ECU
Latin America and Caribbean,Ecuador,TRUE,2024,0,GL,Green lending,Green microfinance,1,Green lending,A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,In-BFP: implemented,ECU
Latin America and Caribbean,Ecuador,FALSE,NA,NA,PBE,Enhance public budget execution,Enhance local budget execution,1,Enhance public budget execution,A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Post-BFP: implemented,ECU
Latin America and Caribbean,Ecuador,FALSE,NA,NA,HS,Change subsidies harmful to biodiversity,NA,1,Change subsidies harmful to biodiversity,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Post-BFP: implemented,ECU
Latin America and Caribbean,Ecuador,FALSE,NA,NA,ECF,Enterprise challenge and innovation funds (detailed review),NA,1,Enterprise challenge and innovation funds (detailed review),A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Post-BFP: implemented,ECU
Latin America and Caribbean,Ecuador,FALSE,NA,NA,ES,Enabling solutions,Disclosure,0,Enabling  solutions,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,ECU
Africa,Uganda,TRUE,2019,5,EFT,Ecological fiscal transfers (detailed review),NA,1,Ecological fiscal transfers (detailed review),A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,In-BFP: implemented,UGA
Africa,Uganda,TRUE,2019,5,PES,Payment for Ecosystem Services (detailed review),NA,1,Payment for Ecosystem Services (detailed review),A,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,In-BFP: implemented,UGA
